#Glass materials Database#Name: Glass name
#LambdaMin, LambdaMax: wavelength range (um)
#K1,L1,K2,L2,K3,L3: Sellmeier1 coeficients.
#Name                       LambdaMin	LambdaMax		K1		L1		K2		L2	      K3               L3			
REALVIEW_2.0               0.365000	2.500000	2.410007820E+00	1.335802130E-02	4.206352560E-01	5.605132530E-02	2.038507260E+00	1.380843100E+02
FK3                        0.300000	2.500000	9.733466270E-01	6.407954690E-03	1.466422310E-01	2.056529300E-02	6.793042250E-01	8.049653890E+01
N-BAF3                     0.365000	2.500000	1.348596340E+00	8.714929320E-03	1.076442400E-01	4.784064360E-02	1.132070840E+00	1.129361160E+02
BAFN6                      0.350000	2.325000	1.367192010E+00	8.828207040E-03	1.090799400E-01	4.387316460E-02	1.021080110E+00	1.135860200E+02
N-KZFS4HT                  0.320000	2.500000	1.350554240E+00	8.762820700E-03	1.975755060E-01	3.717672010E-02	1.099629920E+00	9.038669940E+01
N-PSK53                    0.310000	2.500000	1.343408700E+00	6.750743170E-03	2.414179350E-01	2.199105130E-02	9.528968970E-01	1.035514570E+02
N-SK10                     0.334000	2.500000	1.349720930E+00	7.362722690E-03	2.385879730E-01	2.537653270E-02	9.667336000E-01	1.035029090E+02
N-SK15                     0.334000	2.500000	1.304177860E+00	6.950512760E-03	2.858411600E-01	2.320237030E-02	9.747815720E-01	9.901688400E+01
KZFSN5                     0.350000	2.500000	1.477278580E+00	9.754883350E-03	1.916869410E-01	4.504954040E-02	8.973336080E-01	6.787864950E+01
N-SF19                     0.370000	2.500000	1.520054440E+00	1.096144000E-02	1.757394700E-01	5.932484860E-02	1.436234240E+00	1.267951510E+02
KZFS12                     0.350000	2.500000	1.556248730E+00	1.020127440E-02	2.397692760E-01	4.692779690E-02	9.478876580E-01	6.983707220E+01
N-SF64                     0.370000	2.500000	1.591637620E+00	1.186234340E-02	2.199084280E-01	5.945854990E-02	1.469293150E+00	1.333107620E+02
N-LAF3                     0.350000	2.500000	1.731558540E+00	9.538339140E-03	1.508744550E-01	4.078872110E-02	1.065865960E+00	9.807585450E+01
N-LAK33A                   0.320000	2.500000	1.441169990E+00	6.809338770E-03	5.717495010E-01	2.222918240E-02	1.166052260E+00	8.093795550E+01
N-SF56                     0.380000	2.500000	1.735620850E+00	1.296247420E-02	3.174870120E-01	6.128842880E-02	1.953982030E+00	1.615594410E+02
